text,label,label_name
"Bull market roars as stocks hit all-time highs",2,Greed
"Investors pile into risk assets amid strong earnings",2,Greed
"Record breaking rally continues with no end in sight",2,Greed
"FOMO drives retail investors to chase momentum stocks",2,Greed
"Tech stocks surge as AI boom fuels euphoric buying",2,Greed
"Markets explode higher as Fed signals rate cut pivot",2,Greed
"Meme stocks skyrocket as retail traders flood the market",2,Greed
"Crypto and growth stocks soar in risk-on frenzy",2,Greed
"IPO market on fire with massive first day gains",2,Greed
"Investor confidence hits multi-year high as economy booms",2,Greed
"Margin debt surges as investors bet big on continued gains",2,Greed
"Stocks extend record run as corporate profits beat expectations",2,Greed
"Animal spirits return as markets price in soft landing",2,Greed
"Retail investors pour money into stocks at record pace",2,Greed
"Nasdaq surges 3 percent as tech optimism reaches fever pitch",2,Greed
"Everyone is bullish as market hits new records daily",2,Greed
"Buybacks and dividends surge as companies flush with cash",2,Greed
"M&A activity explodes as cheap money fuels deal making",2,Greed
"Growth stocks on fire as investors ignore valuations",2,Greed
"Every dip is being bought aggressively by eager investors",2,Greed
"Sentiment surveys show extreme greed across all asset classes",2,Greed
"Short sellers crushed as stocks relentlessly grind higher",2,Greed
"Options traders buying calls at record pace betting on gains",2,Greed
"Leveraged ETF inflows surge as risk appetite maxes out",2,Greed
"Wall Street raises targets as bull market shows no signs of stopping",2,Greed
"Investors abandon bonds and cash to chase equity returns",2,Greed
"Speculative frenzy grips market as valuations stretch higher",2,Greed
"Stocks climb wall of worry as bulls overwhelm the bears",2,Greed
"Strong jobs report fuels optimism about economic resilience",2,Greed
"Earnings beats across sectors spark buying frenzy",2,Greed
"Market euphoria reaches levels not seen since dot-com boom",2,Greed
"Rotation into cyclicals signals strong growth expectations",2,Greed
"Momentum traders pile in as breakouts trigger buy signals",2,Greed
"Consumer spending surges fueling optimism about growth",2,Greed
"Soft landing confirmed as inflation falls and growth holds",2,Greed
"Risk appetite surges as credit spreads tighten dramatically",2,Greed
"Investors celebrate as markets deliver banner year returns",2,Greed
"Gold sells off as investors prefer higher-returning equities",2,Greed
"Volatility collapses as complacency sets into the market",2,Greed
"Stocks priced for perfection as greed dominates sentiment",2,Greed
"Bullish positioning at extreme levels across all surveys",2,Greed
"Record highs attract more buyers in self-reinforcing rally",2,Greed
"Investors throwing caution to wind in relentless bull run",2,Greed
"Fear of missing out drives unprecedented inflows to equities",2,Greed
"Markets melting up as bears throw in towel completely",2,Greed
